Pass	Time
0	15.765495
1	16.249061
2	16.197653
3	16.017276
4	15.974194
5	15.943185
6	15.922389
7	15.933631
8	15.949092
9	15.932092
10	15.929612
11	16.003576
12	16.490229
13	17.974789
14	18.979747
15	19.120991
16	16.572266
17	16.759319
18	18.072853
19	17.349705
20	17.227561
21	17.972589
22	17.401828
23	18.129149
24	18.611837
25	17.801589
26	17.524071
27	18.642042
28	18.280617
29	17.643786
30	17.394292
31	18.954041
32	18.398305
33	17.414730
34	17.957762
35	17.955812
36	17.539783
37	17.801180
38	18.332834
39	18.238806
Average:	17.308994
