Pass	Time
0	11.861686
1	8.995195
2	8.778623
3	8.663383
4	8.615545
5	8.990320
6	8.942558
7	8.930826
8	8.920723
9	8.920600
10	8.931066
11	8.936003
12	8.885402
13	8.966841
14	9.149307
15	9.178680
16	9.182865
17	9.179765
18	9.180051
19	9.179542
20	9.180298
21	10.673020
22	11.796502
23	9.059280
24	8.935995
25	8.503409
26	8.499081
27	8.485521
28	8.480798
29	8.506775
30	8.481435
31	8.480419
32	8.492439
33	8.483398
34	8.482816
35	8.479651
36	8.378991
37	8.306808
38	8.426358
39	8.202979
Average:	8.968124
