# CUDA_PROFILE_LOG_VERSION 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_DEVICE 0 Tesla C1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_PROFILE_CSV 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,method,gputime,cputime,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,occupancy,streamID,local_load,local_store,divergent_branch,branch,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,gld_32b,gld_64b,gld_128b,instructions,gst_32b,gst_64b,gst_128b,warp_serialize,cta_launched
35454.91,memcopy,55.936,111.813,,,,,,,,,,,,,,,307200,0,,,,,,,,,,,,,
35586.695,_Z23calculateI1AndI2TexturePhS_,48.704,91.824,600,1,256,1,1,0,544,6,1,0,0,0,20,2560,,,0,0,0,240,0,0,0,10286,120,0,0,11386,60
35761.734,_Z29calculateI1AndI2Stage2TexturePhS_,6.464,19.92,3,1,256,1,1,0,544,8,1,0,0,0,1,128,,,0,0,0,4,0,0,0,541,2,0,0,1063,1
35841.047,_Z21calculateI1AndI2FinalPhS_hPf,5.696,19.048,1,1,1,1,1,6,48,7,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35917.27,_Z19enhanceContrastCUDAPhPf,158.88,172.247,1200,1,256,1,1,0,32,6,1,0,0,0,0,640,,,0,5760,0,3840,5760,0,0,10272,1920,0,0,0,120
36161.008,_Z24lowPassFilterCUDATexturePh,110.048,123.479,1200,1,256,1,1,0,32,8,1,0,0,0,0,960,,,0,0,0,3840,0,0,0,41315,1920,0,0,0,120
36344.242,memcpyDtoD_aligned,9.76,21.728,600,1,128,1,1,0,36,3,1,0,0,0,0,80,,,0,480,0,1920,0,480,0,1212,0,480,0,0,60
36684.055,_Z29calculateThresholdCUDATexturehPjS_S_,97.632,111.163,1200,1,256,1,1,0,3120,7,1,0,0,0,289,15286,,,0,0,0,720,0,0,0,38770,360,0,0,0,120
36858.844,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.04,20.369,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
36937.457,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.176,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
37018.332,memcopy,4.672,14.106,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
