# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent
memcopy,55.936,112.261
_Z23calculateI1AndI2TexturePhS_,48.800,95.239,1.000,0,0,0,240
_Z29calculateI1AndI2Stage2TexturePhS_,6.464,19.843,1.000,0,0,0,4
_Z21calculateI1AndI2FinalPhS_hPf,5.728,18.935,0.250,0,0,0,0
_Z19enhanceContrastCUDAPhPf,158.208,171.494,1.000,0,5760,0,3840
_Z24lowPassFilterCUDATexturePh,109.888,123.120,1.000,0,0,0,3840
memcpyDtoD_aligned,9.952,22.150,1.000,0,480,0,1920
_Z29calculateThresholdCUDATexturehPjS_S_,97.376,110.985,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.072,20.375,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.142,0.250,0,0,0,0
memcopy,4.512,13.956
_Z29calculateThresholdCUDATexturehPjS_S_,97.600,110.844,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.030,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.080,23.016,0.250,0,0,0,0
memcopy,4.352,13.799
_Z29calculateThresholdCUDATexturehPjS_S_,97.152,110.239,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.914,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.100,0.250,0,0,0,0
memcopy,4.416,13.656
_Z29calculateThresholdCUDATexturehPjS_S_,96.768,109.935,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,19.981,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.304,23.250,0.250,0,0,0,0
memcopy,4.352,13.877
_Z29calculateThresholdCUDATexturehPjS_S_,96.672,109.809,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.143,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.330,0.250,0,0,0,0
memcopy,4.352,13.621
_Z29calculateThresholdCUDATexturehPjS_S_,95.584,108.619,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.032,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,9.696,22.573,0.250,0,0,0,0
memcopy,4.448,13.972
_Z29calculateThresholdCUDATexturehPjS_S_,95.872,108.780,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.999,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.379,0.250,0,0,0,0
memcopy,4.352,13.540
_Z29calculateThresholdCUDATexturehPjS_S_,95.744,108.910,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.008,19.900,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.106,0.250,0,0,0,0
memcopy,4.384,13.990
_Z29calculateThresholdCUDATexturehPjS_S_,95.616,108.692,1.000,0,0,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.944,20.027,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.425,0.250,0,0,0,0
memcopy,4.384,13.597
_Z25segmentImageCoalescedCUDAP6uchar4h,10.240,23.581,1.000,0,480,0,1920
_Z17dilateImageCUDA_DPh,22.752,43.891,1.000,0,0,0,3084
_Z17dilateImageCUDA_RPh,24.032,37.547,1.000,0,0,0,3474
_Z17dilateImageCUDA_DPh,23.680,37.147,1.000,0,0,0,4032
_Z17dilateImageCUDA_RPh,24.096,37.356,1.000,0,0,0,4368
_Z17dilateImageCUDA_DPh,24.160,37.548,1.000,0,0,0,4710
_Z17dilateImageCUDA_RPh,24.864,38.100,1.000,0,0,0,4998
_Z16erodeImageCUDA_DPh,42.912,56.211,1.000,0,0,0,14
_Z16erodeImageCUDA_RPh,43.360,56.547,1.000,0,0,0,328
_Z16erodeImageCUDA_DPh,42.240,55.529,1.000,0,0,0,142
_Z16erodeImageCUDA_RPh,41.952,55.131,1.000,0,0,0,36
_Z16erodeImageCUDA_DPh,41.888,55.014,1.000,0,0,0,330
_Z16erodeImageCUDA_RPh,38.880,52.198,1.000,0,0,0,6
_Z36removeUnwantedNoiseHeightCUDATexturePhi,37.632,50.920,1.000,0,0,0,3842
_Z35removeUnwantedNoiseWidthCUDATexturePhi,43.456,56.554,1.000,0,0,0,3840
_Z36removeUnwantedNoiseHeightCUDATexturePhi,32.640,46.233,1.000,0,0,0,3840
_Z35removeUnwantedNoiseWidthCUDATexturePhi,43.520,56.836,1.000,0,0,0,3840
memcopy,59.648,127.587
