# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,gld_32b,gld_64b,gld_128b,instructions
memcopy,56.096,112.241
_Z23calculateI1AndI2TexturePhS_,48.768,92.605,1.000,0,0,0,10286
_Z29calculateI1AndI2Stage2TexturePhS_,6.432,19.960,1.000,0,0,0,541
_Z21calculateI1AndI2FinalPhS_hPf,5.664,18.897,0.250,0,0,0,0
_Z19enhanceContrastCUDAPhPf,156.864,170.169,1.000,5760,0,0,10272
_Z24lowPassFilterCUDATexturePh,109.760,123.131,1.000,0,0,0,41315
memcpyDtoD_aligned,9.888,21.748,1.000,0,480,0,1212
_Z29calculateThresholdCUDATexturehPjS_S_,97.344,110.625,1.000,0,0,0,38770
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.072,20.285,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.061,0.250,0,0,0,0
memcopy,4.608,13.998
_Z29calculateThresholdCUDATexturehPjS_S_,97.056,109.839,1.000,0,0,0,38439
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,19.973,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.025,0.250,0,0,0,0
memcopy,4.384,13.777
_Z29calculateThresholdCUDATexturehPjS_S_,96.928,110.002,1.000,0,0,0,39388
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,20.025,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.336,23.364,0.250,0,0,0,0
memcopy,4.384,13.836
_Z29calculateThresholdCUDATexturehPjS_S_,96.576,109.406,1.000,0,0,0,38540
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.984,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.428,0.250,0,0,0,0
memcopy,4.416,13.875
_Z29calculateThresholdCUDATexturehPjS_S_,96.128,109.221,1.000,0,0,0,38854
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,19.968,1.000,0,48,0,1044
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.238,0.250,0,0,0,0
memcopy,4.384,13.753
_Z29calculateThresholdCUDATexturehPjS_S_,96.288,109.297,1.000,0,0,0,38657
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.033,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.201,0.250,0,0,0,0
memcopy,4.320,13.831
_Z29calculateThresholdCUDATexturehPjS_S_,95.936,108.876,1.000,0,0,0,38444
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.752,20.047,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.262,0.250,0,0,0,0
memcopy,4.416,13.746
_Z29calculateThresholdCUDATexturehPjS_S_,95.776,108.620,1.000,0,0,0,38645
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.142,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.304,23.275,0.250,0,0,0,0
memcopy,4.448,14.008
_Z29calculateThresholdCUDATexturehPjS_S_,95.680,108.653,1.000,0,0,0,38508
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.013,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.221,0.250,0,0,0,0
memcopy,4.416,13.648
_Z25segmentImageCoalescedCUDAP6uchar4h,9.696,23.267,1.000,0,480,0,2032
_Z17dilateImageCUDA_DPh,22.464,43.919,1.000,0,0,0,5715
_Z17dilateImageCUDA_RPh,23.808,37.113,1.000,0,0,0,5782
_Z17dilateImageCUDA_DPh,23.744,36.989,1.000,0,0,0,6184
_Z17dilateImageCUDA_RPh,24.160,37.570,1.000,0,0,0,6183
_Z17dilateImageCUDA_DPh,24.256,37.599,1.000,0,0,0,6182
_Z17dilateImageCUDA_RPh,25.216,38.490,1.000,0,0,0,6449
_Z16erodeImageCUDA_DPh,43.840,57.079,1.000,0,0,0,3257
_Z16erodeImageCUDA_RPh,43.264,56.498,1.000,0,0,0,6656
_Z16erodeImageCUDA_DPh,42.272,55.281,1.000,0,0,0,4771
_Z16erodeImageCUDA_RPh,42.144,55.301,1.000,0,0,0,3569
_Z16erodeImageCUDA_DPh,41.120,54.360,1.000,0,0,0,6875
_Z16erodeImageCUDA_RPh,38.208,51.199,1.000,0,0,0,3019
_Z36removeUnwantedNoiseHeightCUDATexturePhi,38.304,51.654,1.000,0,0,0,7102
_Z35removeUnwantedNoiseWidthCUDATexturePhi,43.456,56.772,1.000,0,0,0,11232
_Z36removeUnwantedNoiseHeightCUDATexturePhi,32.736,46.116,1.000,0,0,0,7044
_Z35removeUnwantedNoiseWidthCUDATexturePhi,40.896,54.037,1.000,0,0,0,11232
memcopy,59.648,125.896
