# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent
memcopy,55.904,111.990
_Z16calculateI1AndI2PhS_S_,48.928,98.443,1.000,0,1920,0,240
_Z22calculateI1AndI2Stage2PhS_S_S_,5.888,19.640,1.000,0,32,0,4
_Z21calculateI1AndI2FinalPhS_hPf,5.632,18.851,0.250,0,0,0,0
_Z19enhanceContrastCUDAPhPf,158.112,171.259,1.000,0,5760,0,3840
_Z17lowPassFilterCUDAPhS_,132.384,145.883,1.000,0,23040,0,3840
memcpyDtoD_aligned,9.856,21.985,1.000,0,480,0,1920
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.808,109.531,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.069,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.186,0.250,0,0,0,0
memcopy,4.640,13.952
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.576,110.149,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,19.932,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.031,0.250,0,0,0,0
memcopy,4.224,13.679
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.320,109.785,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,20.172,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.392,0.250,0,0,0,0
memcopy,4.416,13.944
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.192,109.348,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.752,19.926,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.400,23.276,0.250,0,0,0,0
memcopy,4.352,13.925
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.384,109.491,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,20.013,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.289,0.250,0,0,0,0
memcopy,4.416,13.736
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.944,108.099,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.038,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,22.972,0.250,0,0,0,0
memcopy,4.480,14.125
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.848,108.248,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.752,19.998,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.368,23.441,0.250,0,0,0,0
memcopy,4.352,13.798
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.624,107.662,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.907,1.000,0,48,0,6
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.149,0.250,0,0,0,0
memcopy,4.416,13.790
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.848,108.337,1.000,0,1920,0,720
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.254,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.281,0.250,0,0,0,0
memcopy,4.384,13.844
_Z16segmentImageCUDAPhh,20.736,34.016,1.000,0,1920,0,3840
_Z15dilateImageCUDAPhS_,22.944,44.201,1.000,0,1920,0,3084
_Z15dilateImageCUDAPhS_,24.320,37.588,1.000,0,1920,0,3474
_Z15dilateImageCUDAPhS_,24.832,38.411,1.000,0,1920,0,4032
_Z15dilateImageCUDAPhS_,24.800,37.926,1.000,0,1920,0,4368
_Z15dilateImageCUDAPhS_,25.248,38.451,1.000,0,1920,0,4710
_Z15dilateImageCUDAPhS_,26.016,39.280,1.000,0,1920,0,4998
_Z14erodeImageCUDAPhS_,51.520,64.718,1.000,0,4297,0,460
_Z14erodeImageCUDAPhS_,50.944,63.885,1.000,0,1988,0,14
_Z14erodeImageCUDAPhS_,50.976,64.055,1.000,0,3520,0,312
_Z14erodeImageCUDAPhS_,50.784,63.835,1.000,0,2493,0,124
_Z14erodeImageCUDAPhS_,50.176,63.670,1.000,0,2045,0,24
_Z14erodeImageCUDAPhS_,45.984,59.094,1.000,0,3492,0,298
_Z29removeUnwantedNoiseHeightCUDAPhS_i,44.544,57.674,1.000,0,4420,0,3850
_Z28removeUnwantedNoiseWidthCUDAPhS_i,47.808,60.852,1.000,0,4640,0,3848
_Z29removeUnwantedNoiseHeightCUDAPhS_i,38.624,51.767,1.000,0,4388,0,3840
_Z28removeUnwantedNoiseWidthCUDAPhS_i,45.088,58.185,1.000,0,4624,0,3840
memcopy,60.160,126.579
