# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,gld_32b,gld_64b,gld_128b,instructions
memcopy,55.904,111.643
_Z16calculateI1AndI2PhS_S_,49.344,93.017,1.000,1920,0,0,10101
_Z22calculateI1AndI2Stage2PhS_S_S_,5.984,19.829,1.000,32,0,0,534
_Z21calculateI1AndI2FinalPhS_hPf,5.632,18.896,0.250,0,0,0,0
_Z19enhanceContrastCUDAPhPf,156.032,169.216,1.000,5760,0,0,10272
_Z17lowPassFilterCUDAPhS_,131.808,145.162,1.000,23040,0,0,40993
memcpyDtoD_aligned,9.824,21.595,1.000,0,480,0,1212
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.392,109.119,1.000,1920,0,0,37154
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.270,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.487,0.250,0,0,0,0
memcopy,4.608,13.851
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.544,109.721,1.000,1920,0,0,37149
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,19.772,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.164,0.250,0,0,0,0
memcopy,4.448,14.047
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.224,109.547,1.000,1920,0,0,37150
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.996,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.089,0.250,0,0,0,0
memcopy,4.384,13.680
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.224,109.365,1.000,1920,0,0,37144
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,19.939,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.091,0.250,0,0,0,0
memcopy,4.352,13.863
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.224,109.794,1.000,1920,0,0,37154
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,20.033,1.000,0,48,0,1044
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.038,0.250,0,0,0,0
memcopy,4.352,13.741
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.560,107.673,1.000,1920,0,0,37149
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.008,20.064,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.225,0.250,0,0,0,0
memcopy,4.320,13.951
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.816,108.081,1.000,1920,0,0,37145
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.720,19.676,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.181,0.250,0,0,0,0
memcopy,4.416,13.751
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.008,108.143,1.000,1920,0,0,37146
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.912,19.829,1.000,0,48,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.150,0.250,0,0,0,0
memcopy,4.448,14.056
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.912,108.008,1.000,1920,0,0,37145
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.203,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.184,0.250,0,0,0,0
memcopy,4.384,13.643
_Z16segmentImageCUDAPhh,20.576,34.122,1.000,1920,0,0,3232
_Z15dilateImageCUDAPhS_,23.104,44.947,1.000,1920,0,0,5395
_Z15dilateImageCUDAPhS_,24.320,37.530,1.000,1920,0,0,5461
_Z15dilateImageCUDAPhS_,24.768,38.102,1.000,1920,0,0,5864
_Z15dilateImageCUDAPhS_,24.768,38.129,1.000,1920,0,0,5861
_Z15dilateImageCUDAPhS_,25.568,38.868,1.000,1920,0,0,5864
_Z15dilateImageCUDAPhS_,25.760,39.001,1.000,1920,0,0,6131
_Z14erodeImageCUDAPhS_,51.264,64.568,1.000,4297,0,0,8218
_Z14erodeImageCUDAPhS_,51.136,64.196,1.000,1988,0,0,3243
_Z14erodeImageCUDAPhS_,50.944,64.367,1.000,3520,0,0,6618
_Z14erodeImageCUDAPhS_,50.624,63.653,1.000,2493,0,0,4323
_Z14erodeImageCUDAPhS_,50.688,64.133,1.000,2045,0,0,3548
_Z14erodeImageCUDAPhS_,45.824,58.798,1.000,3492,0,0,6678
_Z29removeUnwantedNoiseHeightCUDAPhS_i,44.000,57.362,1.000,4420,0,0,8399
_Z28removeUnwantedNoiseWidthCUDAPhS_i,48.800,61.920,1.000,4640,0,0,12532
_Z29removeUnwantedNoiseHeightCUDAPhS_i,39.104,52.317,1.000,4388,0,0,8280
_Z28removeUnwantedNoiseWidthCUDAPhS_i,45.856,59.070,1.000,4624,0,0,12472
memcopy,59.808,126.843
