# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,gst_32b,gst_64b,gst_128b,warp_serialize
memcopy,56.096,112.454
_Z16calculateI1AndI2PhS_S_,48.736,100.172,1.000,120,0,0,11610
_Z22calculateI1AndI2Stage2PhS_S_S_,5.984,19.860,1.000,2,0,0,1060
_Z21calculateI1AndI2FinalPhS_hPf,5.632,18.987,0.250,0,0,0,0
_Z19enhanceContrastCUDAPhPf,156.864,169.921,1.000,1920,0,0,0
_Z17lowPassFilterCUDAPhS_,131.104,144.590,1.000,1920,0,0,0
memcpyDtoD_aligned,9.888,21.722,1.000,0,480,0,0
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.552,109.390,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.976,20.581,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.372,0.250,0,0,0,0
memcopy,4.768,14.275
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.000,109.575,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,19.988,1.000,3,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.208,23.289,0.250,0,0,0,0
memcopy,4.384,13.945
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.936,109.245,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.505,1.000,3,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.112,23.134,0.250,0,0,0,0
memcopy,4.384,13.811
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.776,109.058,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,20.030,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,22.800,0.250,0,0,0,0
memcopy,4.416,14.159
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.416,109.722,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.062,1.000,3,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.253,0.250,0,0,0,0
memcopy,4.352,14.004
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.848,107.998,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,7.040,19.993,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.083,0.250,0,0,0,0
memcopy,4.352,13.941
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.912,108.185,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.784,19.948,1.000,3,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.227,0.250,0,0,0,0
memcopy,4.320,13.629
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.880,108.071,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,19.994,1.000,3,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.118,0.250,0,0,0,0
memcopy,4.416,13.926
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.720,107.840,1.000,360,0,0,0
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,19.954,1.000,0,0,0,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.238,0.250,0,0,0,0
memcopy,4.384,13.613
_Z16segmentImageCUDAPhh,20.928,34.363,1.000,1920,0,0,0
_Z15dilateImageCUDAPhS_,23.456,44.777,1.000,1542,0,0,0
_Z15dilateImageCUDAPhS_,24.480,37.636,1.000,1737,0,0,0
_Z15dilateImageCUDAPhS_,25.088,38.633,1.000,2016,0,0,0
_Z15dilateImageCUDAPhS_,24.736,38.082,1.000,2184,0,0,0
_Z15dilateImageCUDAPhS_,24.992,38.339,1.000,2355,0,0,0
_Z15dilateImageCUDAPhS_,25.792,39.140,1.000,2499,0,0,0
_Z14erodeImageCUDAPhS_,51.776,65.279,1.000,230,0,0,0
_Z14erodeImageCUDAPhS_,50.912,64.132,1.000,7,0,0,0
_Z14erodeImageCUDAPhS_,51.424,64.644,1.000,156,0,0,0
_Z14erodeImageCUDAPhS_,50.912,63.971,1.000,62,0,0,0
_Z14erodeImageCUDAPhS_,50.656,63.833,1.000,12,0,0,0
_Z14erodeImageCUDAPhS_,45.888,58.952,1.000,149,0,0,0
_Z29removeUnwantedNoiseHeightCUDAPhS_i,44.736,57.923,1.000,1925,0,0,0
_Z28removeUnwantedNoiseWidthCUDAPhS_i,49.088,62.296,1.000,1924,0,0,0
_Z29removeUnwantedNoiseHeightCUDAPhS_i,38.464,51.656,1.000,1920,0,0,0
_Z28removeUnwantedNoiseWidthCUDAPhS_i,45.920,59.158,1.000,1920,0,0,0
memcopy,59.648,126.080
