# CUDA_PROFILE_LOG_VERSION 1.4
# CUDA_DEVICE 0 Tesla C1060
# CUDA_PROFILE_CSV 1
method,gputime,cputime,occupancy,cta_launched
memcopy,55.776,112.059
_Z16calculateI1AndI2PhS_S_,48.992,100.934,1.000,60
_Z22calculateI1AndI2Stage2PhS_S_S_,5.376,19.721,1.000,1
_Z21calculateI1AndI2FinalPhS_hPf,5.600,18.830,0.250,0
_Z19enhanceContrastCUDAPhPf,156.704,169.875,1.000,120
_Z17lowPassFilterCUDAPhS_,131.392,144.894,1.000,120
memcpyDtoD_aligned,10.016,22.083,1.000,60
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.328,108.957,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.912,20.281,1.000,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.304,23.175,0.250,0
memcopy,4.608,13.827
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.544,109.752,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.752,19.828,1.000,1
_Z27calculateThresholdCUDAFinalPjS_S_jPh,9.696,22.876,0.250,0
memcopy,4.384,13.825
_Z22calculateThresholdCUDAPhhPjS0_S0_,96.192,109.686,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.095,1.000,1
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,23.105,0.250,0
memcopy,4.384,13.770
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.744,108.750,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.848,20.127,1.000,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.339,0.250,0
memcopy,4.320,13.888
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.968,109.041,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.720,20.182,1.000,1
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.086,0.250,0
memcopy,4.288,13.631
_Z22calculateThresholdCUDAPhhPjS0_S0_,95.104,108.229,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.976,20.056,1.000,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.144,22.834,0.250,0
memcopy,4.352,13.981
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.688,108.131,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.720,19.988,1.000,1
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.176,23.236,0.250,0
memcopy,4.384,13.793
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.560,107.750,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.880,20.129,1.000,1
_Z27calculateThresholdCUDAFinalPjS_S_jPh,9.952,23.043,0.250,0
memcopy,4.448,13.997
_Z22calculateThresholdCUDAPhhPjS0_S0_,94.272,107.571,1.000,120
_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.816,20.025,1.000,0
_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.240,23.352,0.250,0
memcopy,4.320,13.781
_Z16segmentImageCUDAPhh,21.120,34.031,1.000,120
_Z15dilateImageCUDAPhS_,23.040,44.442,1.000,120
_Z15dilateImageCUDAPhS_,24.128,37.586,1.000,120
_Z15dilateImageCUDAPhS_,24.736,38.079,1.000,120
_Z15dilateImageCUDAPhS_,24.832,38.063,1.000,120
_Z15dilateImageCUDAPhS_,25.152,38.324,1.000,120
_Z15dilateImageCUDAPhS_,25.760,38.956,1.000,120
_Z14erodeImageCUDAPhS_,51.680,65.062,1.000,120
_Z14erodeImageCUDAPhS_,50.944,64.045,1.000,120
_Z14erodeImageCUDAPhS_,50.528,63.598,1.000,120
_Z14erodeImageCUDAPhS_,51.040,64.225,1.000,120
_Z14erodeImageCUDAPhS_,50.976,64.286,1.000,120
_Z14erodeImageCUDAPhS_,45.952,58.900,1.000,120
_Z29removeUnwantedNoiseHeightCUDAPhS_i,44.736,57.997,1.000,120
_Z28removeUnwantedNoiseWidthCUDAPhS_i,47.808,61.007,1.000,120
_Z29removeUnwantedNoiseHeightCUDAPhS_i,38.688,51.752,1.000,120
_Z28removeUnwantedNoiseWidthCUDAPhS_i,45.824,58.860,1.000,120
memcopy,60.096,125.421
