# CUDA_PROFILE_LOG_VERSION 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_DEVICE 0 Tesla C1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CUDA_PROFILE_CSV 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timestamp,method,gputime,cputime,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,occupancy,streamID,local_load,local_store,divergent_branch,branch,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,gld_32b,gld_64b,gld_128b,instructions,gst_32b,gst_64b,gst_128b,warp_serialize,cta_launched
35172.328,memcopy,55.968,112.283,,,,,,,,,,,,,,,307200,0,,,,,,,,,,,,,
35305.125,_Z16calculateI1AndI2PhS_S_,48.992,93.099,600,1,256,1,1,0,560,7,1,0,0,0,20,2560,,,0,1920,0,240,1920,0,0,10101,120,0,0,11610,60
35478.082,_Z22calculateI1AndI2Stage2PhS_S_S_,5.92,19.715,3,1,256,1,1,0,560,8,1,0,0,0,1,128,,,0,32,0,4,32,0,0,534,2,0,0,1060,1
35556.922,_Z21calculateI1AndI2FinalPhS_hPf,5.696,19.194,1,1,1,1,1,6,48,7,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35633.613,_Z19enhanceContrastCUDAPhPf,156.448,169.742,1200,1,256,1,1,0,32,6,1,0,0,0,0,640,,,0,5760,0,3840,5760,0,0,10272,1920,0,0,0,120
35875.074,_Z17lowPassFilterCUDAPhS_,134.08,147.838,1200,1,256,1,1,0,32,9,1,0,0,0,0,960,,,0,23040,0,3840,23040,0,0,40993,1920,0,0,0,120
36082.77,memcpyDtoD_aligned,9.696,21.987,600,1,128,1,1,0,36,3,1,0,0,0,0,80,,,0,480,0,1920,0,480,0,1212,0,480,0,0,60
36341.871,_Z22calculateThresholdCUDAPhhPjS0_S0_,95.68,109.351,1200,1,256,1,1,0,3136,6,1,0,0,0,240,13960,,,0,1920,0,720,1920,0,0,37154,360,0,0,0,120
36515.617,_Z28calculateThresholdCUDAStage2PjS_S_S_S_S_,6.88,20.285,5,1,256,1,1,0,3136,7,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
36594.191,_Z27calculateThresholdCUDAFinalPjS_S_jPh,10.272,23.385,1,1,1,1,1,60,64,8,0.25,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0
